symbol,name,last,change,changePct
L,Loews Corporation Common Stock,63.31,0.64,1.021
LDOS,Leidos Holdings Inc. Common Stock,102.06,-1.91,-1.837
LEN,Lennar Corporation Class A Common Stock,88.51,2.24,2.596
LFC,China Life Insurance Company Limited American Depositary Shares,7.76,0.59,8.229
LH,Laboratory Corporation of America Holdings Common Stock,274.02,2.49,0.917
LHX,L3Harris Technologies Inc. Common Stock,243.43,-14.68,-5.687
LIN,Linde plc Ordinary Share,304.53,10.43,3.546
LMT,Lockheed Martin Corporation Common Stock,421.34,-27.33,-6.091
LNC,Lincoln National Corporation Common Stock,65.91,3.78,6.084
LOW,Lowe's Companies Inc. Common Stock,231.33,0.26,0.113
LSI,Life Storage Inc. Common Stock,132.35,2.27,1.745
LU,Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share,6.35,1.71,36.853
LUMN,Lumen Technologies Inc. Common Stock,10.82,0.04,0.371
LUV,Southwest Airlines Company Common Stock,43.12,1.06,2.52
LVS,Las Vegas Sands Corp. Common Stock,36.54,3.88,11.88
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),100.84,2.19,2.22
LYG,Lloyds Banking Group Plc American Depositary Shares,2.53,0.08,3.265
LYV,Live Nation Entertainment Inc. Common Stock,112.01,0.25,0.224
MAA,Mid-America Apartment Communities Inc. Common Stock,207.84,2.26,1.099
MAS,Masco Corporation Common Stock,56.12,0.47,0.845
MCD,McDonald's Corporation Common Stock,238.14,5.57,2.395
MCK,McKesson Corporation Common Stock,291.36,0.73,0.251
MCO,Moody's Corporation Common Stock,314.86,8.15,2.657
MDT,Medtronic plc. Ordinary Shares,107.30,1.90,1.803
MET,MetLife Inc. Common Stock,67.52,2.20,3.368
MFC,Manulife Financial Corporation Common Stock,20.10,0.90,4.688
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),2.78,0.06,2.206
MGA,Magna International Inc. Common Stock,60.96,2.63,4.509
MGM,MGM Resorts International Common Stock,42.17,2.08,5.188
MKC,McCormick & Company Incorporated Common Stock,96.83,-1.45,-1.475
MKL,Markel Corporation Common Stock,1383.72,10.93,0.796
MLM,Martin Marietta Materials Inc. Common Stock,379.10,-1.37,-0.36
MMC,Marsh & McLennan Companies Inc. Common Stock,158.00,2.70,1.739
MMM,3M Company Common Stock,145.51,1.20,0.832
MMP,Magellan Midstream Partners L.P. Limited Partnership,47.19,0.18,0.383
MO,Altria Group Inc.,51.28,-0.26,-0.504
MOH,Molina Healthcare Inc Common Stock,329.85,2.08,0.635
MOS,Mosaic Company (The) Common Stock,57.57,-0.86,-1.472
MPC,Marathon Petroleum Corporation Common Stock,74.86,0.46,0.618
MPLX,MPLX LP Common Units Representing Limited Partner Interests,31.62,0.23,0.733
MPW,Medical Properties Trust Inc. common stock,19.94,-0.13,-0.648
MRK,Merck & Company Inc. Common Stock (new),78.12,-0.52,-0.661
MRO,Marathon Oil Corporation Common Stock,21.59,-0.06,-0.277
MS,Morgan Stanley Common Stock,91.76,5.43,6.29
MSCI,MSCI Inc Common Stock,492.96,22.02,4.676
MSI,Motorola Solutions Inc. Common Stock,226.84,2.11,0.939
